int logctl_get(): open '/dev/hwlog_switch' fail -1, 13. Permission denied
Note: log switch off, only log_main and log_events will have logs!
--------- beginning of system
12-20 17:03:26.007  1045  1389 D NetdConnector: RCV <- {601 limit alert globalAlert lo}
12-20 17:03:26.007  1045  1071 D NetdConnector: RCV unsolicited event from native daemon, event = 601 limit alert globalAlert lo
12-20 17:03:26.012  1045  1390 D NetdConnector: SND -> {881 bandwidth gettetherstats}
12-20 17:03:26.013  1045  1389 D NetdConnector: RCV <- {200 881 Tethering stats list completed}
12-20 17:03:26.014  1045  1389 D NetdConnector: RCV <- {200 881 Tethering stats list completed}
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory: read stats:
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory: NetworkStats: elapsedRealtime=24688571
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [0] iface=wlan0 uid=10248 set=ALL tag=0x0 rxBytes=281 rxPackets=0 txBytes=860 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=ackground_clean
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [1] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=914 rxPackets=0 txBytes=1437 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=bilesafe:engine
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [2] iface=wlan0 uid=2000 set=ALL tag=0x0 rxBytes=6156 rxPackets=0 txBytes=3190 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=uiautomator
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [3] iface=wlan0 uid=2000 set=ALL tag=0x0 rxBytes=3133 rxPackets=0 txBytes=6156 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=adbd
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [4] iface=wlan0 uid=10008 set=ALL tag=0x0 rxBytes=6192 rxPackets=0 txBytes=1082 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=browser:service
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [5] iface=wlan0 uid=10159 set=ALL tag=0x0 rxBytes=2781 rxPackets=0 txBytes=3995 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=alk:pushservice
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [6] iface=wlan0 uid=10159 set=ALL tag=0x0 rxBytes=30160 rxPackets=0 txBytes=45694 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=juphoon.justalk
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [7] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=2832 rxPackets=0 txBytes=8996 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=bilesafe:report
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [8] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=60903 rxPackets=0 txBytes=3120 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=ilesafe:loader1
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [9] iface=wlan0 uid=10053 set=ALL tag=0x0 rxBytes=2287 rxPackets=0 txBytes=36263 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=ouc:hwbdservice
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [10] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=6158 rxPackets=0 txBytes=37607 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=ilesafe:loader0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [11] iface=wlan0 uid=10127 set=ALL tag=0x0 rxBytes=885 rxPackets=0 txBytes=714 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=t.qqsports:push
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [12] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=480647 rxPackets=0 txBytes=3579 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=bilesafe:update
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [13] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=1384 rxPackets=0 txBytes=709 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=lesafe:WifiExam
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [14] iface=wlan0 uid=10318 set=ALL tag=0x0 rxBytes=17052 rxPackets=0 txBytes=6697 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=ilesafe:permmgr
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [15] iface=wlan0 uid=10127 set=ALL tag=0x0 rxBytes=1302942 rxPackets=0 txBytes=291491 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=encent.qqsports
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [16] iface=wlan0 uid=10122 set=ALL tag=0x0 rxBytes=314939470 rxPackets=0 txBytes=173847678 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=calserverplayer
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:   [17] iface=wlan0 uid=10120 set=ALL tag=0x0 rxBytes=16457 rxPackets=0 txBytes=7488 txPackets=0 operations=0
12-20 17:03:26.024  1045  1390 D NetworkStatsFactory:  proc=nt.mm:appbrand0
